id,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80,Feature81,Feature82,Feature83,Feature84,Feature85,Feature86,Feature87,Feature88,Feature89,Feature90,Feature91,Feature92,Feature93,Feature94,Feature95,Feature96,Feature97,Feature98,Feature99,Label0,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15,Label16,Label17,Label18,Label19,Label20,Label21,Label22,Label23,Label24,Label25,Label26,Label27,Label28,Label29,Label30,Label31,Label32,Label33,Label34,Label35,Label36,Label37,Label38,Label39
1,0.015834548,-0.045126732,0.0946399,0.048653364,-0.066023596,-0.023271106,-0.016249597,0.033511765,0.04916557,-0.013469397,0.022523377,-0.07966441,0.012361555,-0.005312916,0.01684664,-0.007048196,-0.014908378,0.021622567,0.071576454,-0.024166984,0.017271837,-0.052167784,-0.050010517,-0.04402171,-0.03236935,0.028092116,0.025928224,0.038883593,-0.050377745,-0.056456253,0.040243033,-0.008850568,0.042442556,0.05355737,-0.019752998,0.049579635,0.025410479,-0.001015714,-0.024046086,-0.04071647,-0.003349737,0.053138442,-0.11549085,-0.002475171,0.0777227,0.046911262,-0.010614828,-0.044276897,0.065678716,0.11558316,0.015432052,0.03240282,0.009059124,-0.025753424,0.063399985,-0.0364312,0.06443967,0.006034264,-0.004676129,-0.05188323,0.058384124,0.008503863,0.018176941,-0.005899399,-0.025508836,-0.030818097,-0.026384609,0.001360174,-0.01731726,0.06712094,-0.009570719,-0.04170903,0.06670061,-0.023542644,0.02415763,0.023463592,0.006872509,-0.043245878,0.06644861,0.05452555,0.000801313,0.027727984,-0.075336725,0.06244852,-0.02943568,-0.04256557,-0.012237072,-0.011936306,0.007112925,-0.028191708,-0.014628244,0.05508898,0.033272568,-0.048926894,-0.054868285,-0.004183933,0.060212817,0.025796542,-0.031957388,0.002129703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,-0.06315746,-0.017946815,-0.030837744,-0.007912653,-0.02852293,-0.001569973,-0.002895792,0.037893575,0.09540876,0.044268843,-0.010835874,-0.000652107,-0.004343323,-0.032066997,-0.015429284,0.033184387,-0.020227853,-0.005302486,0.051265076,0.03786025,-0.04771646,-0.017396988,0.054959837,-0.036261514,0.021580616,-0.05706504,0.012647166,-0.08429887,0.008483507,0.031245455,-0.003680943,0.05818241,0.009452371,-0.041774724,0.007768871,0.047029655,0.03614411,0.013337777,0.029696316,-0.04409353,0.012413961,0.018094746,0.01623283,0.06511393,-0.05788854,0.06381177,-0.01420753,-0.007182863,0.032489568,0.10614902,-0.021759016,0.040219493,-0.031672407,-0.009804767,-0.007784654,-0.054118767,-0.030414388,0.038176563,-0.026723374,-0.050479233,0.012775424,-0.011994867,0.04186735,0.020597119,-0.07448484,0.051023144,0.06645882,-0.053980187,0.038498785,0.05248915,0.022972364,-0.019073471,0.016128493,0.021526257,-0.008171992,0.041600946,-0.012043201,0.008361291,0.026938407,-0.054678373,-0.001673605,0.009991313,-0.002661908,-0.01779777,0.006019013,-0.079189904,-0.03383742,-0.04824743,0.00041069,-0.029726341,-0.100753866,0.030049892,0.032543585,0.050140318,0.009357534,-0.050385825,0.022247149,-0.06299824,0.009943316,-0.08736304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.037002243,-0.030173779,0.080121875,-0.001854886,-0.01363162,-0.009644198,-0.02185403,-0.017841334,-0.012353714,-0.11069909,-0.005090932,-0.032056443,0.028235551,-0.04086526,-0.01664202,0.05101067,-0.01434797,-0.004535404,0.06959644,-0.01885487,-0.029222336,-0.061582904,-0.028350912,-0.038447965,-0.056914467,0.024536109,0.052115567,-0.07219591,-0.044240363,-0.04598711,0.02595672,-0.066354394,0.03899604,-0.04253405,0.018680852,0.07270076,-0.055200018,0.036336154,-0.049918544,-0.044368543,-0.00702476,0.077057,-0.0449585,0.011118496,-0.058849946,0.05204037,0.05522066,-0.015979923,0.06864492,0.13225918,0.012574093,0.029204072,0.000257023,-0.065521,0.0857561,-0.04497658,-0.009549552,-0.05912907,0.009544912,-0.043690175,0.056295604,0.03845333,-0.029104294,0.030066023,-0.088701986,0.06326866,0.036887962,-0.0087869,-0.06397564,0.08701895,-0.016204145,-0.040736593,0.04756238,-0.000575109,0.040931936,0.023992123,0.005173761,-0.034571283,0.062293302,0.011698854,-0.044353493,-0.01634924,-0.002848867,0.06287705,-0.012688487,-0.06798198,-0.025585914,0.014228127,0.07061694,-0.03119084,-0.083747946,-0.04320592,-0.029972076,-0.041316025,-0.004495279,-0.036539376,0.009200952,-0.038798876,-0.06397916,-0.047625497,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,-0.041542806,-0.020182338,0.002726295,-0.08007235,0.032773536,-0.00488863,0.036260463,0.047001984,0.003047861,-0.036937065,-0.06697198,0.051171295,0.047987595,0.058927555,-0.05413488,0.013574745,-0.017803364,-0.008321513,-0.04006706,-0.02378849,0.042532988,-0.045643475,0.016811205,-0.039583467,0.023408704,-0.097692005,0.013519281,-0.036811054,-0.006162804,0.007077462,0.0594841,0.050211016,0.025729924,-0.07129042,0.046275787,0.03228768,0.10231209,0.016654938,-0.02195888,-0.0079136,-0.020439157,0.050430935,-0.002607741,-0.00058089,-0.028171383,0.058279455,0.005550899,0.013503076,-0.036253005,-0.004017098,-0.007856581,-0.014581156,-0.012244465,-0.039186727,0.05352745,-0.037021805,-0.103705846,-0.03418058,-0.016275275,-0.072749875,-0.04260491,-0.055291392,-0.06582458,-0.0024695,-0.042382993,0.001709583,0.034942646,-0.012022951,-0.007496929,0.071709365,-0.08823024,0.030676574,0.028969714,0.025964616,-0.060157888,-0.03858139,-0.022570632,-0.024661696,0.03654407,0.025819117,-0.068390734,0.057808064,-0.046920683,-0.07906449,-0.008144069,0.034641072,0.037780624,-0.006493552,-0.057221156,-0.069291726,-0.02413637,0.0168659,-0.097503886,0.031904478,0.044631578,-0.034657497,0.037286885,-0.027211176,-0.02208094,0.026462719,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.041542806,-0.020182338,0.002726295,-0.08007235,0.032773536,-0.00488863,0.036260463,0.047001984,0.003047861,-0.036937065,-0.06697198,0.051171295,0.047987595,0.058927555,-0.05413488,0.013574745,-0.017803364,-0.008321513,-0.04006706,-0.02378849,0.042532988,-0.045643475,0.016811205,-0.039583467,0.023408704,-0.097692005,0.013519281,-0.036811054,-0.006162804,0.007077462,0.0594841,0.050211016,0.025729924,-0.07129042,0.046275787,0.03228768,0.10231209,0.016654938,-0.02195888,-0.0079136,-0.020439157,0.050430935,-0.002607741,-0.00058089,-0.028171383,0.058279455,0.005550899,0.013503076,-0.036253005,-0.004017098,-0.007856581,-0.014581156,-0.012244465,-0.039186727,0.05352745,-0.037021805,-0.103705846,-0.03418058,-0.016275275,-0.072749875,-0.04260491,-0.055291392,-0.06582458,-0.0024695,-0.042382993,0.001709583,0.034942646,-0.012022951,-0.007496929,0.071709365,-0.08823024,0.030676574,0.028969714,0.025964616,-0.060157888,-0.03858139,-0.022570632,-0.024661696,0.03654407,0.025819117,-0.068390734,0.057808064,-0.046920683,-0.07906449,-0.008144069,0.034641072,0.037780624,-0.006493552,-0.057221156,-0.069291726,-0.02413637,0.0168659,-0.097503886,0.031904478,0.044631578,-0.034657497,0.037286885,-0.027211176,-0.02208094,0.026462719,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.041542806,-0.020182338,0.002726295,-0.08007235,0.032773536,-0.00488863,0.036260463,0.047001984,0.003047861,-0.036937065,-0.06697198,0.051171295,0.047987595,0.058927555,-0.05413488,0.013574745,-0.017803364,-0.008321513,-0.04006706,-0.02378849,0.042532988,-0.045643475,0.016811205,-0.039583467,0.023408704,-0.097692005,0.013519281,-0.036811054,-0.006162804,0.007077462,0.0594841,0.050211016,0.025729924,-0.07129042,0.046275787,0.03228768,0.10231209,0.016654938,-0.02195888,-0.0079136,-0.020439157,0.050430935,-0.002607741,-0.00058089,-0.028171383,0.058279455,0.005550899,0.013503076,-0.036253005,-0.004017098,-0.007856581,-0.014581156,-0.012244465,-0.039186727,0.05352745,-0.037021805,-0.103705846,-0.03418058,-0.016275275,-0.072749875,-0.04260491,-0.055291392,-0.06582458,-0.0024695,-0.042382993,0.001709583,0.034942646,-0.012022951,-0.007496929,0.071709365,-0.08823024,0.030676574,0.028969714,0.025964616,-0.060157888,-0.03858139,-0.022570632,-0.024661696,0.03654407,0.025819117,-0.068390734,0.057808064,-0.046920683,-0.07906449,-0.008144069,0.034641072,0.037780624,-0.006493552,-0.057221156,-0.069291726,-0.02413637,0.0168659,-0.097503886,0.031904478,0.044631578,-0.034657497,0.037286885,-0.027211176,-0.02208094,0.026462719,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.024374172,0.012603506,0.030858153,0.010237648,0.008880579,0.0000717,0.007391368,0.078687005,-0.02461481,-0.02280764,-0.055766176,0.026482373,0.06271886,0.03852954,-0.008122336,-0.09455149,0.009646994,-0.008324258,-0.02057088,0.037240125,-0.019222084,-0.045057178,0.04524386,0.040395238,-0.026043894,-0.019293746,0.041162584,-0.058242604,-0.002793068,0.034631196,0.046071894,0.05432594,-0.056746017,-0.085364535,-0.06794158,0.016973186,0.039214034,0.08370172,-0.056084592,-0.026360169,0.017239964,0.030289648,0.019881044,-0.05179814,-0.009059299,-0.028516242,0.03332248,0.071276404,0.029516157,-0.011808486,0.09698579,0.028214663,-0.02502935,-0.04685641,0.03579414,-0.09301028,-0.020770987,-0.03963575,-0.057784513,0.082320064,0.12305818,-0.040344667,-0.048953205,0.08756742,0.03200841,-0.016890291,0.13357031,0.002489973,0.006052123,0.011201696,0.042634413,-0.005901656,-0.042529646,0.026928138,-0.029431064,-0.013174648,0.05364515,-0.048867933,0.04836423,-0.021946607,-0.02787519,0.02584197,-0.020111077,-0.037377335,-0.044908203,-0.05306332,0.032238256,-0.016114114,-0.001707859,0.031387817,-0.014116949,-0.048877966,-0.09611225,-0.02858285,-0.038703952,-0.03543007,-0.035959423,-0.012993984,0.000929296,-0.1275536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.041542806,-0.020182338,0.002726295,-0.08007235,0.032773536,-0.00488863,0.036260463,0.047001984,0.003047861,-0.036937065,-0.06697198,0.051171295,0.047987595,0.058927555,-0.05413488,0.013574745,-0.017803364,-0.008321513,-0.04006706,-0.02378849,0.042532988,-0.045643475,0.016811205,-0.039583467,0.023408704,-0.097692005,0.013519281,-0.036811054,-0.006162804,0.007077462,0.0594841,0.050211016,0.025729924,-0.07129042,0.046275787,0.03228768,0.10231209,0.016654938,-0.02195888,-0.0079136,-0.020439157,0.050430935,-0.002607741,-0.00058089,-0.028171383,0.058279455,0.005550899,0.013503076,-0.036253005,-0.004017098,-0.007856581,-0.014581156,-0.012244465,-0.039186727,0.05352745,-0.037021805,-0.103705846,-0.03418058,-0.016275275,-0.072749875,-0.04260491,-0.055291392,-0.06582458,-0.0024695,-0.042382993,0.001709583,0.034942646,-0.012022951,-0.007496929,0.071709365,-0.08823024,0.030676574,0.028969714,0.025964616,-0.060157888,-0.03858139,-0.022570632,-0.024661696,0.03654407,0.025819117,-0.068390734,0.057808064,-0.046920683,-0.07906449,-0.008144069,0.034641072,0.037780624,-0.006493552,-0.057221156,-0.069291726,-0.02413637,0.0168659,-0.097503886,0.031904478,0.044631578,-0.034657497,0.037286885,-0.027211176,-0.02208094,0.026462719,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.024374172,0.012603506,0.030858153,0.010237648,0.008880579,0.0000717,0.007391368,0.078687005,-0.02461481,-0.02280764,-0.055766176,0.026482373,0.06271886,0.03852954,-0.008122336,-0.09455149,0.009646994,-0.008324258,-0.02057088,0.037240125,-0.019222084,-0.045057178,0.04524386,0.040395238,-0.026043894,-0.019293746,0.041162584,-0.058242604,-0.002793068,0.034631196,0.046071894,0.05432594,-0.056746017,-0.085364535,-0.06794158,0.016973186,0.039214034,0.08370172,-0.056084592,-0.026360169,0.017239964,0.030289648,0.019881044,-0.05179814,-0.009059299,-0.028516242,0.03332248,0.071276404,0.029516157,-0.011808486,0.09698579,0.028214663,-0.02502935,-0.04685641,0.03579414,-0.09301028,-0.020770987,-0.03963575,-0.057784513,0.082320064,0.12305818,-0.040344667,-0.048953205,0.08756742,0.03200841,-0.016890291,0.13357031,0.002489973,0.006052123,0.011201696,0.042634413,-0.005901656,-0.042529646,0.026928138,-0.029431064,-0.013174648,0.05364515,-0.048867933,0.04836423,-0.021946607,-0.02787519,0.02584197,-0.020111077,-0.037377335,-0.044908203,-0.05306332,0.032238256,-0.016114114,-0.001707859,0.031387817,-0.014116949,-0.048877966,-0.09611225,-0.02858285,-0.038703952,-0.03543007,-0.035959423,-0.012993984,0.000929296,-0.1275536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.047824882,-0.007464076,0.067332946,0.002362139,0.016284369,0.0894013,0.053810682,0.011570828,0.00555625,0.022302372,-0.07149962,-0.029337844,0.01995947,-0.019231847,-0.015945131,0.040766187,0.022491092,-0.002324903,-0.075296514,0.004458044,0.035254814,0.048985504,-0.046445563,0.06670265,0.013521952,0.021543408,0.05651802,-0.079834335,-0.075318895,-0.06272836,0.044023797,-0.085304454,0.10200461,-0.027283816,-0.001571425,-0.01569778,0.008781454,-0.021069897,-0.06688016,0.049939007,0.0051434,-0.08307028,-0.040894236,-0.03222513,0.014197839,-0.03675281,-0.05969724,0.030788513,0.057340957,-0.014123711,-0.058830112,-0.023967978,-0.008360181,-0.055161953,0.07051652,-0.06492675,-0.010935138,-0.097560145,-0.078877345,-0.009227948,0.007617548,-0.012671042,-0.04782764,0.04456369,-0.07172898,0.021133574,-0.014080971,0.022222333,0.018237239,-0.064403795,-0.030461611,0.065087445,0.05644808,-0.05032721,-0.039803945,-0.018976862,0.017792018,-0.026406476,0.050127663,0.038304713,-0.10787576,-0.02033275,0.011086944,-0.046312526,0.029618638,-0.048927937,0.037711,-0.07222036,0.02951857,0.011189951,0.04373635,-0.023667581,-0.07613636,0.028156685,-0.04719189,-0.027882457,-0.019912645,0.026633192,0.023133159,0.009417618,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
